Recipe,Ingredients,Details
Сырники,Творог,"Шаг 1

Сырники классические, творог протрите через сито
Приготовьте тесто для классических сырников. Творог протрите через частое сито в большую миску.
Если творог слишком влажный, откиньте его на марлю, сложенную вчетверо, и отожмите.

Шаг 2

Сырники классические, добавьте сахар и соль
В миску с творогом добавьте обычный и ванильный сахар, а также соль. Перемешайте.

Шаг 3

Сырники классические, добавьте яйцо
Яйцо взбейте венчиком. Добавьте в творожную массу и перемешайте лопаточкой или вилкой.

Шаг 4

Сырники классические, всыпьте муку
Всыпьте муку. Перемешивайте лопаточкой до получения теста однородной гладкой консистенции.
Тесто для сырников уберите на 15 минут в холодильник или просто в прохладное место.

Шаг 5

Сырники классические, сформируйте толстую колбаску
Стол присыпьте небольшим количеством муки.
Выложите приготовленное тесто для классических сырников и руками сформуйте из него толстую колбаску диаметром примерно 5 см.

Шаг 6

Сырники классические, нарежьте колбаску кружочками
Получившуюся «колбаску» нарежьте кружочками толщиной не более 1,5 см.
Каждый сырник обваляйте в муке и оставьте на столе, присыпанном мукой, до обжаривания.

Шаг 7

Сырники классические, обжарьте сырники
В сковороде с толстым дном нагрейте оба вида масла. Жарьте сырники по 2 минуты с каждой стороны.
Затем накройте крышкой и готовьте еще 3 минуты на очень маленьком огне.

Шаг 8

Сырники классические, запекайте сырники в духовке
Сырники классические можно довести до полной готовности и в духовке.
Для этого после обжаривания переложите их на противень и запекайте 5 минут при 200°C."
Сырники,Сахар,
Сырники,Ванильный сахар,
Сырники,Соль,
Сырники,Яйца,
Сырники,Мука,
Сырники,Растительное масло,
Сырники,Сливочное масло,
Овсяная каша,Сливки,"Шаг 1

Доведите до кипения сливки в небольшой кастрюле, добавьте соль и засыпьте овсяные хлопья.
Варите на минимальном огне 5 мин.

Шаг 2

Банан разомните вилкой и положите в кашу (несколько кусочков банана можете оставить для украшения).

Шаг 3

Хорошенько взбейте кашу прямо в кастрюле миксером, 3 мин.
Добавьте масло, выложите кашу на подогретые тарелки и подавайте."
Овсяная каша,Овсяные хлопья,
Овсяная каша,Банан,
Овсяная каша,Сливочное масло,
Овсяная каша,Соль,
Манная каша,Манная крупа,"Шаг 1

Подготовьте все ингредиенты для приготовления манной каши на молоке без комочков.
В кастрюлю с толстым дном влейте воду. Поставьте на огонь, добавьте молоко и доведите до кипения на сильном огне.
Приправьте сахаром и солью, перемешайте.

Шаг 2

Манную крупу насыпьте в мерную кружку с «носиком».
Возьмите венчик в правую руку и, непрерывно перемешивая им кипящее молоко, всыпайте левой манку тонкой струйкой.

Шаг 3

Перемешивая содержимое кастрюли венчиком, варите манную кашу около пяти минут на среднем огне.
Следите, чтобы она не пригорала! Если вы все сделали правильно, комочков в каше быть не должно.

Шаг 4

Выключите огонь под кастрюлей с манной кашей на молоке. Добавьте сливочное масло.
Закройте кастрюлю с кашей и оставьте на 5 минут на горячей плите.
Разлейте манную каша на молоке без комочков по тарелкам и подайте на стол."
Манная каша,Молоко,
Манная каша,Сливочное масло,
Манная каша,Вода,
Манная каша,Сахар,
Манная каша,Соль,
Гречневая каша,Гречневая крупа,"Шаг 1

Подготовьте гречневую крупу для варки. Сначала насыпьте ее на рабочий стол,
выстланный белой бумагой для выпечки, и распределите в один слой. Переберите, удаляя мусор.

Шаг 2

Пересыпьте гречневую крупу в большую миску. Залейте холодной водой и тщательно промойте несколько раз,
периодически ее сливая, до тех пор, пока не станет прозрачной.

Шаг 3

Воду налейте в кастрюлю и быстро доведите до кипения. Добавьте соль по вкусу и перемешайте.
Всыпьте гречневую крупу и доведите до кипения. Снимите пену.

Шаг 4

Огонь под кастрюлей уменьшите до минимального. Варите гречневую кашу под крышкой 20–25 минут.
Не перемешивайте. Затем выключите огонь, добавьте в кашу масло и оставьте под крышкой еще на 10 минут."
Гречневая каша,Вода,
Гречневая каша,Сливочное масло,
Гречневая каша,Соль,
Запеканка,Творог,"Шаг 1

Творог для классической запеканки протереть через мелкое сито.
Затем добавить сметану, яйца и сахар, взбить венчиком. Добавить просеянную с разрыхлителем муку.
Еще раз взбить.

Шаг 2

Лимон вымыть и обсушить. Затем снять с плода мелкой теркой цедру. Изюм промыть теплой водой.
Добавить в творожную массу лимонную цедру и изюм, хорошо перемешать.

Шаг 3

Форму для выпекания застелить пергаментом, выложить получившуюся массу, разровнять поверхность.
Готовить запеканку в заранее разогретой до 180 °С духовке 35 мин."
Запеканка,Яйца,
Запеканка,Лимон,
Запеканка,Разрыхлитель,
Запеканка,Сметана,
Запеканка,Изюм,
Мюсли,Овсяные хлопья,"Шаг 1

Духовку разогреть до 130-140 градусов.

Шаг 2

Смешать в миске хлопья, сахар, соль, орехи. На слабом огне нагреть мёд, воду,
корицу, раст.масло, чтобы всё смешалось до однородности.

Шаг 3

Вылить в сухие ингредиенты и хорошо перемешать. Смазать противень маслом или застелить пергаментной бумагой,
равномерно распределить всю массу по противню.

Шаг 4

Запекать полчаса, время от времени (приблизительно каждые 10 минут) перемешивая ложкой,
затем достать из духовки, добавить сухофрукты и запекать ещё 10-15 минут до золотистого цвета.

Шаг 5

Остудить и убрать в банку с плотной крышкой.
Подавать с молоком."
Мюсли,Орехи,
Мюсли,Семечки,
Мюсли,Клюква,
Мюсли,Вишня,
Мюсли,Соль,
Мюсли,Мёд,
Мюсли,Корица,
Мюсли,Растительное масло,
Мюсли,Вода,
Мюсли,Сахар,
Мюсли,Молоко,
Суп грибной,Грибы,"Шаг 1

Для приготовления этого блюда взять любые свежие грибы, почистить их,
нарезать пластинками и обжарить с 2 столовыми ложками сливочного масла.

Шаг 2
Обжаренные грибы переложить в кастрюлю, залить 2 л кипятка и варить на слабом огне в течение 30 минут.
Таймер 30 минут

Шаг 3
Нарезать соломкой 5–6 клубней картофеля.

Шаг 4
Корень петрушки, морковь и луковицу нарезать мелким кубиком.

Шаг 5
Разогреть растительное масло в сковороде и обжарить на нем сначала лук до золотистого цвета.

Шаг 6
Затем добавить корень петрушки и морковь, жарить еще 5–7 минут.

Шаг 7
Овощи добавить в суп, посолить, поперчить, добавить лавровый лист и варить еще 20–30 минут до готовности картофеля.

Шаг 8
В конце добавить мелко нарубленную зелень и снять с огня."
Суп грибной,Сливочное масло,
Суп грибной,Вода,
Суп грибной,Картофель,
Суп грибной,Морковь,
Суп грибной,Петрушка,
Суп грибной,Репчатый лук,
Суп грибной,Растительное масло,
Суп грибной,Соль,
Суп грибной,Черный перец,
Суп грибной,Лавровый лист,
Суп грибной,Зелень,
Суп грибной,Сметана,
Суп гречневый,Репчатый лук,"Шаг 1

Поставить кипятиться воду.

Шаг 2

Очистить, вымыть картофель. Нарезать кубиками.

Шаг 3

Очистить, вымыть лук и морковь. Лук нарезать мелко. Морковь натереть на крупной терке.

Шаг 4

Гречку перебрать, промыть в холодной воде.

Шаг 5

Воду вскипятить, посолить, добавить нарезанный кубиками картофель, лук и морковь,
гречневую крупу, лавровый лист, масло, перец и соль.

Шаг 6

Варить гречневый суп до готовности на небольшом огне под крышкой (около 20-25 минут)."
Суп гречневый,Морковь,
Суп гречневый,Гречневая крупа,
Суп гречневый,Картофель,
Суп гречневый,Лавровый лист,
Суп гречневый,Сливочное масло,
Суп гречневый,Соль,
Суп гречневый,Черный перец,
Суп гречневый,Вода,
Борщ,Говядина,"Шаг 1

Подготавливают все необходимые продукты. Если чернослив сухой, заливают его кипятком на 10-15 минут.

Шаг 2

Мясо нарезают небольшими кусочками.

Шаг 3

Выкладывают мясо в кастрюлю, заливают холодной водой.
Доводят до кипения, снимают пену и варят мясо 1,5 часа на маленьком огне, под крышкой.

Шаг 4

Картофель очищают и нарезают крупными кусками.

Шаг 5

Свеклу очищают, нарезают соломкой. Обычно свёклу тушат в сковороде с добавлением лимонного сока или уксуса - можно сделать именно так.
Но в этом рецепте свёкла добавляется в бульон в сыром виде и варится вместе с картошкой и капустой.

Шаг 6

Капусту шинкуют соломкой.

Шаг 7

Лук чистят и мелко нарезают.

Шаг 8

Морковь чистят и натирают на крупной терке.

Шаг 9

Чернослив очищают от косточек, мелко нарезают.

Шаг 10

Сковороду нагревают, наливают растительное масло. В горячее масло выкладывают лук и морковь,
обжаривают овощи, помешивая, 3-4 минуты на среднем огне.
Добавляют томатную пасту, перемешивают и обжаривают овощи с томатом ещё 1 минуту.

Шаг 11

В мясной бульон добавляют картофель, свёклу, капусту, обжаренные лук и морковь.
Добавляют чернослив, соль и варят борщ с черносливом до готовности картофеля, 20-25 минут.

Шаг 12

Зелень моют и мелко режут.

Шаг 13

Готовый борщ с черносливом разливают по тарелкам, посыпают измельченной зеленью петрушки.
Подают борщ со сметаной."
Борщ,Картофель,
Борщ,Капуста,
Борщ,Свекла,
Борщ,Морковь,
Борщ,Репчатый лук,
Борщ,Томатная паста,
Борщ,Чернослив,
Борщ,Петрушка,
Борщ,Соль,
Борщ,Растительное масло,
Борщ,Вода,
Борщ,Сметана,
Солянка,Говядина,"Шаг 1

Поставить мясо вариться. Бульон для солянки должен быть крепкий, насыщенный.
Но если вас это смущает, можно сварить бульон из небольшого кусочка мяса с косточкой, а крепкий бульон разбавить водой.

Шаг 2

Нарезать отварное мясо, ветчину, колбасу тонкими ломтиками.

Шаг 3

Соленые огурцы нарезать наискосок в виде ромбиков или тонких полосок.

Шаг 4

Нашинковать кольцами репчатый лук.

Шаг 5

Пассеровать лук с томат-пюре на оливковом масле.

Шаг 6

Опустить в кипящий бульон мясо, колбасные изделия, дать закипеть.
Затем огурцы и лук. Когда закипит, убавить огонь и варить около 10 минут.

Шаг 7

Добавить лавровый лист, оливки (маслины) и каперсы, чтобы прогрелись. Можно подавать."
Солянка,Колбаса,
Солянка,Лук,
Солянка,Томатная паста,
Солянка,Каперсы,
Солянка,Черный перец,
Солянка,Лавровый лист,
Солянка,Растительное масло,
Солянка,Лимон,
Солянка,Зелень,
Солянка,Маслины,
Солянка,Оливки,
Рассольник,Рис,"Шаг 1

В кастрюлю налить 2,5 л воды. Поставить на огонь кастрюлю, довести до кипения. Тем временем помыть рис.

Шаг 2

Очистить, помыть и нарезать картофель.

Шаг 3

В кипяток опустить картофель и рис. Варить на небольшом огне 15 минут.

Шаг 4

Очистить, помыть лук и морковь. Морковь натереть на крупной терке (или нарезать соломкой), а лук нарезать кубиками.

Шаг 5

Огурцы натереть на крупной терке.

Шаг 6

Разогреть сковороду, налить растительное масло. В горячее масло выложить подготовленные лук и морковь.
Тушить овощи на среднем огне, помешивая, 2-3 минуты. Добавить томат.


Шаг 7

Перемешать, добавить огурцы, перемешать, тушить все на маленьком огне 2-3 минуты.

Таймер 3 минуты

Шаг 8

Выложить зажарку в кастрюлю, перемешать. Посолить, поперчить, добавить лавровый лист и любимые специи.
Варить на самом маленьком огне 5 минут."
Рассольник,Гречневая крупа,
Рассольник,Картофель,
Рассольник,Репчатый лук,
Рассольник,Огурцы,
Рассольник,Соль,
Рассольник,Сахар,
Рассольник,Перец,
Рассольник,Специи,
Рассольник,Томатная паста,
Рассольник,Растительное масло,
Рассольник,Зелень,
Окрошка,Яйца,"Шаг 1

Режем кубиками все ингредиенты.

Шаг 2

Всё перемешиваем, раскладываем по тарелкам.

Шаг 3

Заливаем квасом, украшаем окрошку половинкой яйца и посыпаем нарезанной зеленью."
Окрошка,Колбаса,
Окрошка,Огурцы,
Окрошка,Картофель,
Окрошка,Редис,
Окрошка,Зелень,
Окрошка,Квас,
Суп с фрикадельками,Фарш,"Шаг 1

Натираем на терке 1 луковицу, добавляем в фарш. Добавляем яйцо, соль, перец. Тщательно всё перемешиваем.
Формируем шарики-фрикадельки из фарша.

Шаг 2

Картошку нарезаем небольшими кубиками.
Мелко нарезаем оставшийся лук. Морковь натираем на терке.

Шаг 3

В кастрюлю с кипящей водой (около 1,2 л) добавляем фрикадельки. Доводим до кипения (можно снять пену). Варим 10 минут.

Шаг 4

В это время делаем зажарку: на разогретой сковороде с растительным маслом обжариваем лук с морковью 5-7 минут.

Шаг 5

Добавляем в кастрюлю картофель. Варим 10 минут.
В картофельный суп с фрикадельками добавляем овощную зажарку и варим ещё 10 минут.
В конце добавляем соль и молотый перец."
Суп с фрикадельками,Картофель,
Суп с фрикадельками,Репчатый лук,
Суп с фрикадельками,Морковь,
Суп с фрикадельками,Яйца,
Суп с фрикадельками,Соль,
Суп с фрикадельками,Черный перец,
Суп с фрикадельками,Зелень,
Суп с фрикадельками,Растительное масло,
Суп гороховый,Копченые ребра,"Шаг 1

Горох промываем и замачиваем на 30 минут.

Шаг 2

Копченые ребрышки нарезаем на крупные куски по 2 см (разрезаем их между ребер).

Шаг 3

Горох еще раз промываем, высыпаем в кастрюлю (объемом 2,5 л) и заливаем водой.
Туда же кладем нарезанные ребра. Отправляем вариться на среднем огне.

Шаг 4

Дожидаемся, пока вода закипит, и снимаем пену.

Шаг 5

Варим горох с копчеными ребрышками не меньше 1 часа.

Шаг 6

Тем временем подготавливаем картофель к варке - нарезаем небольшими кубиками.

Шаг 7

Морковь нарезаем соломкой (толщиной 2-3 мм и длиной 1-1,5 см).

Шаг 8

Лук мелко нарезаем.

Шаг 9

Когда сварится горох (примерно через час), добавляем в гороховый суп картошку. Можно немного посолить суп.

Шаг 10

Пока картофель варится, из лука и моркови делаем зажарку.
Для этого наливаем растительное масло на разогретую сковородку, высыпаем лук и морковь и обжариваем до золотистости лука.

Шаг 11

Добавляем в суп овощную зажарку и варим суп гороховый с ребрышками до готовности картофеля, минут 10-15.
В конце добавляем специи по желанию."
Суп гороховый,Горох,
Суп гороховый,Картофель,
Суп гороховый,Репчатый лук,
Суп гороховый,Морковь,
Суп гороховый,Чеснок,
Суп гороховый,Соль,
Суп гороховый,Растительное масло,
Суп гороховый,Вода,
Суп овощной,Картофель,"Шаг 1

Картофель и морковь очистите и порежьте кубиками. Помидор просто порежьте любой формы.

Шаг 2

Картофель положите вариться в бульон, который приготовьте заранее.
Однако если у вас нет готового бульона, то мясо помойте, порежьте и проварите около 30 минут, после чего добавьте картофель.

Шаг 3

Через 10 минут варки картофеля опустите к нему вариться помытую чечевицу.
Одновременно положите морковь и приправьте суп солью, черным молотым перцем и специями.

Шаг 4

В конце приготовления супа положите вариться помидоры. Проварите суп 5 минут и убирайте его с плиты."
Суп овощной,Морковь,
Суп овощной,Помидоры,
Суп овощной,Чечевица красная,
Суп овощной,Лавровый лист,
Суп овощной,Черный перец,
Суп овощной,Соль,
Куриный суп,Куриное филе,"Шаг 1

Подготовьте необходимые продукты для куриного супа с вермишелью. Овощи очистите, вымойте.

Шаг 2

Как приготовить куриный суп с вермишелью:
Куриное филе вымойте, обсушите, срежьте с филе пленки и нарежьте его крупно.

Шаг 3

Выложите курицу в кастрюлю, залейте холодной водой, добавьте лавровые листья.
Доведите до кипения и снимите пену. Варите куриное филе 15 минут, после чего выложите кусочки филе на тарелку.

Шаг 4

Морковь натрите на крупной терке.

Шаг 5

Лук нарежьте мелкими кубиками.

Шаг 6

Разогрейте на сковороде растительное масло и обжарьте на умеренном огне (спассеруйте)
нарезанный лук примерно 2-3 минуты, до мягкости.

Шаг 7

Добавьте к луку натертую морковь, перемешайте и обжаривайте лук и морковь еще 2 минуты.

Шаг 8

Картофель нарежьте средними кубиками или брусочками.

Шаг 9

Куриное филе нарежьте кусочками.

Шаг 10

Добавьте в кастрюлю с бульоном картофель и варите примерно 10 минут.

Шаг 11

После этого добавьте приготовленную зажарку (пассеровку).

Шаг 12

В суп с овощами добавьте куриное филе.

Шаг 13

Всыпьте в суп с курицей вермишель, добавьте соль и молотый перец по вкусу. Перемешайте.
Варите куриный суп с вермишелью 5-7 минут. (При желании можно добавить в суп измельченную зелень петрушки.)

Шаг 14

Готовому куриному супу дайте настояться несколько минут. Затем разлейте суп с вермишелью по тарелкам,
посыпьте измельчённой свежей зеленью и подавайте к столу."
Куриный суп,Картофель,
Куриный суп,Морковь,
Куриный суп,Репчатый лук,
Куриный суп,Лапша,
Куриный суп,Петрушка,
Куриный суп,Черный перец,
Куриный суп,Соль,
Куриный суп,Растительное масло,
Куриный суп,Вода,
Жаренный картофель,Картофель,"Шаг 1

Картофель тщательно промойте при помощи щётки. Обсушите клубни полотенцем. Разрежьте картошку пополам.
Затем каждую половинку картофеля разрежьте ещё на 4 дольки. Таким же способом подготовьте оставшуюся картошку.

Шаг 2

Посыпьте дольки картофеля солью, добавьте чёрный перец, паприку и куркуму.
Тщательно перемешайте, чтобы соль и пряности распределились по картошке. (Удобнее перемешивать картофельные дольки руками).

Шаг 3

В сковородке разогрейте растительное масло. Выложите подготовленный картофель и обжаривайте на огне чуть больше среднего,
помешивая каждые 3 минуты, до полной готовности картофеля. Этот процесс займёт примерно 20-25 минут.

Шаг 4

Подавать картошку по-деревенски, жаренную на сковороде, лучше сразу после приготовления, пока корочка не размягчилась."
Жаренный картофель,Соль,
Жаренный картофель,Черный перец,
Жаренный картофель,Паприка,
Жаренный картофель,Кукуруза,
Жаренный картофель,Куркума,
Жаренный картофель,Растительное масло,
Паста Болоньезе,Репчатый лук,"Шаг 1

Готовим соус для спагетти болоньезе, лук и чеснок мелко рубим. Приготовьте соус для спагетти болоньезе.
Для этого лук с чесноком очистите. Лук разрежьте на половинки, затем нарежьте мелкими кубиками.
Зубчики чеснока раздавите плоской стороной ножа и порубите.

Шаг 2

Пассеруем лук и чеснок на сковороде
В большую сковороду налейте оливковое масло и нагрейте его.
Выложите нарезанные лук с чесноком и, помешивая, жарьте на среднем огне до легкого подрумянивания.

Шаг 3

Добавляем фарш, обжариваем, постоянно помешивая
К луку с чесноком добавьте фарш и, помешивая вилкой (чтобы не образовывались комочки),
жарьте на среднем огне в течение 10 минут. Мясная основа для соуса болоньезе готова!

Шаг 4

Нарезаем сладкий перец для соуса болоньезе, добавляем к фаршу
Сладкий перец, удалив семена и перегородки, нарежьте маленькими кубиками.
Добавьте в сковороду к мясу и, помешивая, жарьте 5 минут. Следите, чтобы перец не подгорел.

Шаг 5

Томаты пробиваем блендером, выкладываем к мясу с овощами
Помидоры очистите и переложите в чашу блендера. Измельчите на высокой скорости, затем добавьте в сковороду к мясу с овощами.
Посолите и поперчите. Добавьте пряные травы по вкусу и тушите соус болоньезе на маленьком огне 20 минут.

Шаг 6

Отвариваем спагетти
Приготовьте спагетти. Для этого в большой кастрюле доведите до кипения воду и немного посолите ее.
Опустите в нее спагетти, не разламывая. Делайте это постепенно, по мере размягчения погруженной в воду части.
Варите 10 минут.

Шаг 7

Готовую пасту откидываем на дуршлаг, даем стечь
Готовые спагетти откиньте на дуршлаг и дайте стечь жидкости. Промывать их не надо: так паста будет лучше соединяться с соусом.
Но добавить столовую ложку оливкового масла можно.

Шаг 8

Спагетти кладем в соус болоньезе, перемешиваем
Спагетти положите в соус болоньезе и перемешайте. Прогрейте все вместе. Затем разложите по порционным тарелкам и посыпьте тертым сыром.
Сразу подайте на стол."
Паста Болоньезе,Чеснок,
Паста Болоньезе,Растительное масло,
Паста Болоньезе,Фарш,
Паста Болоньезе,Сладкий перец,
Паста Болоньезе,Помидоры,
Паста Болоньезе,Спагетти,
Паста Болоньезе,Сыр,
Паста Болоньезе,Петрушка,
Паста Болоньезе,Соль,
Паста Болоньезе,Черный перец,
